Abdomem,Fecg,Torax,Tempo,Classificacao
0.498663,0.0436,0.381290,2500,0
0.466592,0.0096,0.389926,2501,0
0.478529,0.0194,0.394820,2502,0
0.459991,-0.0006,0.387874,2503,0
0.474016,0.0158,0.366359,2504,0
0.495240,0.0368,0.378967,2505,0
0.455208,0.0044,0.319376,2506,0
0.509511,0.0649,0.337976,2507,0
0.416926,-0.0220,0.331363,2508,0
0.403420,-0.0294,0.331039,2509,0
0.442309,0.0156,0.329491,2510,0
0.419915,-0.0040,0.353666,2511,0
0.414096,-0.0054,0.336587,2512,0
0.402454,-0.0090,0.298942,2513,0
0.432217,0.0284,0.296207,2514,0
0.399973,0.0078,0.255826,2515,0
0.383698,0.0041,0.244981,2516,0
0.356914,-0.0150,0.286344,2517,0
0.356270,-0.0044,0.247047,2518,0
0.385268,0.0335,0.254411,2519,0
0.351751,0.0066,0.274142,2520,0
0.338264,0.0007,0.240112,2521,0
0.317324,-0.0140,0.256532,2522,0
0.342058,0.0130,0.286344,2523,0
0.321459,0.0025,0.210746,2524,0
0.309220,0.0044,0.167899,2525,0
0.270164,-0.0206,0.170635,2526,0
0.290668,0.0123,0.173635,2527,0
0.243546,-0.0275,0.199141,2528,0
0.229305,-0.0336,0.187704,2529,0
0.219078,-0.0376,0.186199,2530,0
0.200239,-0.0465,0.145583,2531,0
0.254042,0.0177,0.151224,2532,0
0.186426,-0.0394,0.130050,2533,0
0.212795,-0.0020,0.123476,2534,0
0.177890,-0.0244,0.111029,2535,0
0.163407,-0.0292,0.117681,2536,0
0.202620,0.0173,0.140461,2537,0
0.215339,0.0355,0.158925,2538,0
0.168780,-0.0038,0.111243,2539,0
0.147957,-0.0202,0.118807,2540,0
0.118726,-0.0427,0.097383,2541,0
0.171192,0.0198,0.064142,2542,0
0.112602,-0.0236,0.020738,2543,0
0.140683,0.0155,0.048631,2544,0
0.128662,0.0083,0.098830,2545,0
0.117889,0.0044,0.061881,2546,0
0.125582,0.0183,0.066515,2547,0
0.069581,-0.0323,0.061961,2548,0
0.092110,-0.0023,0.038186,2549,0
0.094412,0.0067,0.037951,2550,0
0.059389,-0.0185,0.008126,2551,0
0.068527,-0.0032,0.044614,2552,0
0.089098,0.0258,0.023801,2553,0
0.051583,-0.0069,0.035520,2554,0
0.070342,0.0171,0.029785,2555,0
0.092890,0.0421,0.044225,2556,0
0.078775,0.0321,0.015872,2557,0
0.072936,0.0295,0.007719,2558,0
0.126205,0.0841,0.033654,2559,0
0.063961,0.0246,0.036060,2560,0
0.087452,0.0486,0.041144,2561,0
0.084661,0.0506,0.001339,2562,0
0.059360,0.0247,0.047023,2563,0
0.074619,0.0448,-0.011816,2564,0
0.030796,0.0036,0.006524,2565,0
0.071940,0.0435,0.031703,2566,0
0.084484,0.0623,-0.024447,2567,0
0.092067,0.0722,0.002168,2568,0
0.095301,0.0774,0.008666,2569,0
0.106177,0.0923,-0.014136,2570,0
0.123671,0.1136,-0.008540,2571,0
0.105100,0.0984,-0.016090,2572,0
0.093120,0.0930,-0.049732,2573,0
0.062018,0.0617,0.020129,2574,0
0.051252,0.0546,-0.017283,2575,0
0.060544,0.0640,0.014690,2576,0
0.075603,0.0782,0.008431,2577,0
0.085396,0.0903,-0.006329,2578,0
0.075428,0.0784,0.011379,2579,0
0.044797,0.0525,-0.043108,2580,0
0.057085,0.0653,0.002448,2581,0
0.084081,0.0908,0.000549,2582,0
0.046589,0.0582,-0.048102,2583,0
0.042729,0.0568,-0.025670,2584,0
0.041191,0.0552,-0.010143,2585,0
0.036155,0.0509,-0.016927,2586,0
0.061503,0.0778,-0.026033,2587,0
0.032619,0.0456,0.006878,2588,0
0.083291,0.0971,-0.006617,2589,0
0.070192,0.0842,-0.013517,2590,0
0.057786,0.0734,-0.017212,2591,0
0.053638,0.0689,-0.001858,2592,0
0.026788,0.0426,-0.016616,2593,0
0.002334,0.0176,-0.000619,2594,0
0.036802,0.0526,-0.029011,2595,0
0.054566,0.0702,-0.007626,2596,0
0.018412,0.0300,0.027653,2597,0
-0.000635,0.0056,0.023820,2598,0
0.014005,0.0186,0.000367,2599,0
0.025726,0.0285,0.008644,2600,0
0.008673,0.0119,-0.014072,2601,0
0.018473,0.0198,0.004772,2602,0
0.033797,0.0309,0.038739,2603,0
0.008766,0.0072,-0.015748,2604,0
0.022041,0.0185,0.011904,2605,0
0.077038,0.0728,0.001193,2606,0
0.019707,0.0181,-0.023994,2607,0
0.002521,-0.0013,0.015460,2608,0
0.032879,0.0309,-0.014756,2609,0
-0.028445,-0.0297,-0.014455,2610,0
0.017733,0.0188,-0.020861,2611,0
0.005258,0.0084,-0.007417,2612,0
-0.004507,-0.0032,0.025938,2613,0
0.030221,0.0349,-0.031459,2614,0
0.019158,0.0212,0.026487,2615,0
0.003133,0.0064,-0.016275,2616,0
-0.009735,-0.0079,0.013908,2617,0
-0.018679,-0.0131,-0.022594,2618,0
-0.011498,-0.0044,-0.022261,2619,0
0.004858,0.0089,0.028771,2620,0
0.011035,0.0166,-0.016910,2621,0
-0.011951,-0.0063,-0.013020,2622,0
0.021935,0.0268,0.009184,2623,0
-0.015728,-0.0096,-0.019509,2624,0
0.028888,0.0338,0.003315,2625,0
0.008329,0.0149,-0.025414,2626,0
0.008915,0.0171,-0.019699,2627,0
-0.033592,-0.0247,-0.000723,2628,0
0.009387,0.0145,0.020789,2629,0
-0.037057,-0.0287,-0.024134,2630,0
-0.015356,-0.0051,-0.027385,2631,0
0.016794,0.0266,0.003570,2632,0
0.029212,0.0337,0.036311,2633,0
0.004890,0.0097,-0.014073,2634,0
0.003922,0.0057,0.034075,2635,0
-0.013686,-0.0119,-0.009175,2636,0
0.013767,0.0166,-0.016676,2637,0
-0.000256,0.0020,0.004967,2638,0
-0.012667,-0.0102,-0.010918,2639,0
0.011299,0.0121,0.014445,2640,0
-0.009272,-0.0144,0.044101,2641,0
-0.052302,-0.0578,-0.002966,2642,0
-0.025823,-0.0341,0.026929,2643,0
-0.011518,-0.0193,0.005206,2644,0
-0.011965,-0.0225,0.019434,2645,0
-0.024080,-0.0322,-0.027067,2646,0
-0.054744,-0.0610,-0.010873,2647,0
0.009498,0.0041,0.008783,2648,0
-0.043812,-0.0495,0.001348,2649,0
-0.018286,-0.0219,-0.004011,2650,0
-0.029620,-0.0395,0.056316,2651,0
-0.042114,-0.0503,-0.016409,2652,0
-0.020860,-0.0290,0.006894,2653,0
-0.033212,-0.0439,0.024952,2654,0
-0.043318,-0.0549,0.019389,2655,0
-0.037588,-0.0489,0.017981,2656,0
-0.003104,-0.0113,-0.024811,2657,0
0.031811,0.0235,0.014037,2658,0
0.002317,-0.0065,0.010338,2659,0
0.043342,0.0367,-0.009717,2660,0
0.019778,0.0131,-0.004835,2661,0
0.030291,0.0281,-0.039699,2662,0
0.036175,0.0334,0.012215,2663,0
0.073753,0.0720,-0.004529,2664,0
0.081297,0.0771,0.024902,2665,0
0.100442,0.0981,0.005090,2666,0
0.126967,0.1214,0.026209,2667,0
0.136761,0.1269,0.045294,2668,0
0.125259,0.1170,-0.002663,2669,0
0.145476,0.1371,0.010294,2670,0
0.142855,0.1333,0.018838,2671,0
0.151548,0.1412,0.001500,2672,0
0.118989,0.1112,-0.015037,2673,0
0.165404,0.1581,0.002539,2674,0
0.150969,0.1442,-0.004863,2675,0
0.154837,0.1467,0.014367,2676,0
0.165382,0.1590,-0.024509,2677,0
0.157976,0.1529,-0.001128,2678,1
0.149779,0.1460,-0.007817,2679,0
0.113369,0.1142,-0.028552,2680,0
0.112057,0.1154,-0.017809,2681,0
0.079318,0.0830,0.007606,2682,0
0.112671,0.1202,-0.019423,2683,0
0.070026,0.0815,-0.039247,2684,0
0.014937,0.0251,0.011995,2685,0
0.015937,0.0282,-0.017106,2686,0
0.004114,0.0161,-0.002467,2687,0
0.011219,0.0260,-0.036680,2688,0
-0.064354,-0.0478,-0.022737,2689,0
-0.063910,-0.0491,0.006942,2690,0
-0.066629,-0.0519,-0.002893,2691,0
